Name,Sentence,Sentence_Category,Compound_Score,Sentiment_Result
Hospital Putrajaya,good service,Hospital,0.4404,Positive
Hospital Putrajaya,alhamdulillah,Hospital,0.0,Neutral
Hospital Putrajaya,"online service, ambulance management pick patient park cooperation given putrajaya hospital best",Hospital,0.6369,Positive
Hospital Putrajaya,credit duty 5,Hospital,0.3818,Positive
Hospital Putrajaya,30pm (saturday 7/8/2021),Hospital,0.0,Neutral
Hospital Putrajaya,officer phone polite understood situation know patient's status,Hospital,0.0,Neutral
Hospital Putrajaya,credit jgk utk girl utk btugas hr nie,Hospital,0.3818,Positive
Hospital Putrajaya,best,Hospital,0.6369,Positive
Hospital Putrajaya,doctor dan nurse memang baik,Doctor,0.0,Neutral
Hospital Putrajaya,"tapi masa ayah pergi ke emergency masuk ward hari tu kita pakai wheelchair baru sendiri, tapi masa keluar ward (3 hari lepas) wheelchair baru kita dah hilang",Hospital,-0.3818,Negative
Hospital Putrajaya,going hospital ever since 3,Hospital,0.0,Neutral
Hospital Putrajaya,", still 10/10 rating",Hospital,0.0,Neutral
Hospital Putrajaya,"doctor,nurse,staff professional understanding",Doctor,0.0,Neutral
Hospital Putrajaya,"canteen food, toilet everything well maintained",Hospital,0.2732,Neutral
Hospital Putrajaya,"friendly service,near taman equine affordable outpatient treatment cost people health insurance",Hospital,0.4939,Positive
Hospital Putrajaya,queue annoying though,Hospital,-0.4019,Negative
Hospital Putrajaya,must wait line 1-2 hour appointment place extremely crowded,Hospital,0.0,Neutral
Hospital Putrajaya,nice doctors & nurse committed job,Doctor,0.5994,Positive
Hospital Putrajaya,congratulations guy,Hospital,0.5994,Positive
Hospital Putrajaya,keep good work,Hospital,0.4404,Positive
Hospital Putrajaya,"blood bank, though",Hospital,0.0,Neutral
Hospital Putrajaya,cannot donate blood,Hospital,0.0,Neutral
Hospital Putrajaya,"putrajaya hospital shall model hospital, centre excellence class goal providing client focused quality care process excellence community participation environment conducive competent committed staff progressive mindset",Hospital,0.9545,Positive
Hospital Putrajaya,hospital provides basically secondary level care,Hospital,0.4939,Positive
Hospital Putrajaya,putrajaya hospital keeping location within multimedia super corridor managed run based total hospital information system (t,Hospital,0.5994,Positive
Hospital Putrajaya,h,Hospital,0.0,Neutral
Hospital Putrajaya,),Hospital,0.0,Neutral
Hospital Putrajaya,"wa hospital morning wife appointment, despite high no, patient various reasons, must say entire staff, including security guards, front desk receptionists, doctors, staff pharmacy r, wonderful ppl, job best can, may allah swt, bless all, send thanks gratitude entire hospital staff, keep good team spirit",Doctor,0.9744,Positive
Hospital Putrajaya,"covid season putrajaya hospital quiet, although frontlines service good, area strict waiting",Hospital,0.4404,Positive
Hospital Putrajaya,hospital putrajaya modern hospital maintains quality towards client never disappointed ask staff question awhile wa service putrajaya mrs,Hospital,0.3724,Positive
Hospital Putrajaya,still continuing appointment hospital,Hospital,0.0,Neutral
Hospital Putrajaya,"experience get job done within 2 hour registration,consultation medication hospital",Hospital,0.0,Neutral
Hospital Putrajaya,cafe specialist clinic ha variety dish clean,Hospital,0.6249,Positive
Hospital Putrajaya,"model hospital, center excellence class commited staff professional progressive mindset",Hospital,0.6249,Positive
Hospital Putrajaya,well managed run latest based (this) system,Hospital,0.2732,Neutral
Hospital Putrajaya,mrs,Hospital,0.0,Neutral
Hospital Putrajaya,ear operation lately received good professional care follow,Hospital,0.7269,Positive
Hospital Putrajaya,"putrajaya hospital modern hospital, maintained quality towards client, according involvement public excellent process within conducive environment competency; including staff giving full concentration progressive mind",Hospital,0.7269,Positive
Hospital Putrajaya,hospital ha 341 bed located putrajaya; officially the federal territory putrajaya federal administrative centre the malaysian capital,Hospital,0.34,Positive
Hospital Putrajaya,hospital give intensive care level two,Hospital,0.4939,Positive
Hospital Putrajaya,"hospital located multimedia super corridor, wa managed maintained using total hospital information system (t",Hospital,0.5994,Positive
Hospital Putrajaya,h,Hospital,0.0,Neutral
Hospital Putrajaya,),Hospital,0.0,Neutral
Hospital Putrajaya,excellent servis,Hospital,0.5719,Positive
Hospital Putrajaya,went inr,Hospital,0.0,Neutral
Hospital Putrajaya,today seems lot patient,Hospital,0.0,Neutral
Hospital Putrajaya,"wa enough seats, would stand waiting number called",Hospital,0.0772,Neutral
Hospital Putrajaya,although lot patient waiting time wa surprisingly short,Hospital,0.296,Neutral
Hospital Putrajaya,number wa called early,Hospital,0.0772,Neutral
Hospital Putrajaya,gee,Hospital,0.0,Neutral
Hospital Putrajaya,lucky,Hospital,0.4215,Positive
Hospital Putrajaya,i'd say overall service wa satisfactory,Hospital,0.3612,Positive
Hospital Putrajaya,"front liner courteous, presentable well mannered",Hospital,0.6597,Positive
Hospital Putrajaya,complaint,Hospital,-0.296,Neutral
Hospital Putrajaya,"information parking area hospital, longer free chargeable beginning 1st february, 2021",Hospital,0.5106,Positive
Hospital Putrajaya,hopefully alleviate double parking,Hospital,0.4019,Positive
Hospital Putrajaya,putrajaya hospital set appointment echocardiogram examination,Hospital,0.0,Neutral
Hospital Putrajaya,find left behind referral letter shah alam hospital home reaching putrajaya hospital,Hospital,0.2023,Neutral
Hospital Putrajaya,go ahead try luck anyway,Hospital,0.4588,Positive
Hospital Putrajaya,disappointed insists producing referral letter,Hospital,-0.4767,Negative
Hospital Putrajaya,nice putrajaya hospital could patient friendly bureaucratic procedure,Hospital,0.7184,Positive
Hospital Putrajaya,"well, procedure procedure",Hospital,0.2732,Neutral
Hospital Putrajaya,"hopefully putrajaya hospital could one day par like mayo clinic, johns hopkins hospital massachusetts general hospital",Hospital,0.6369,Positive
Hospital Putrajaya,best health care provider top 10 world,Hospital,0.8481,Positive
Hospital Putrajaya,right fair compare putrajaya hospital mayo clinic like apple apple like apple durian,Hospital,0.743,Positive
Hospital Putrajaya,wish covid 19 case disappear soon,Hospital,0.2023,Neutral
Hospital Putrajaya,additional public carpark made available,Hospital,0.0,Neutral
Hospital Putrajaya,located main junction coming hospital cancer institute,Hospital,-0.6597,Negative
Hospital Putrajaya,"note soon one day, parking may chargeable local authority",Hospital,0.0772,Neutral
Hospital Putrajaya,wait always always long staff friendly helpful (i meant staff nurse specialist clinic) wonderful peach deal,Hospital,0.8658,Positive
Hospital Putrajaya,hope keep possibly improve system betterment people malaysia,Hospital,0.7003,Positive
Hospital Putrajaya,"well, expected almost government facilities, parking also always issue",Hospital,0.2732,Neutral
Hospital Putrajaya,i'm sure even hospital staff,Hospital,0.3182,Positive
Hospital Putrajaya,"so, come driver/grab u",Doctor,0.0,Neutral
Hospital Putrajaya,help issue,Hospital,0.4019,Positive
Hospital Putrajaya,facilities service provided much better private dare say especially come endocrinology,Hospital,0.4404,Positive
Hospital Putrajaya,edit(22,Hospital,0.0,Neutral
Hospital Putrajaya,9,Hospital,0.0,Neutral
Hospital Putrajaya,2020)=new parking space ikn hospital putrajaya,Hospital,0.0,Neutral
Hospital Putrajaya,well done,Hospital,0.2732,Neutral
Hospital Putrajaya,well done,Hospital,0.2732,Neutral
Hospital Putrajaya,edit (11,Hospital,0.0,Neutral
Hospital Putrajaya,1,Hospital,0.0,Neutral
Hospital Putrajaya,2021): hospital putrajaya ha outdone,Hospital,0.34,Positive
Hospital Putrajaya,time free hotspot,Hospital,0.5106,Positive
Hospital Putrajaya,"excellent waiting, even better tvs",Hospital,0.765,Positive
Hospital Putrajaya,ok,Hospital,0.296,Neutral
Hospital Putrajaya,mom got sick allergic pharmacist gave wrong medicine frm doctor order,Doctor,-0.8225,Negative
Hospital Putrajaya,nurse friendly caring,Hospital,0.7506,Positive
Hospital Putrajaya,pls check slip medicine leave,Hospital,0.0258,Neutral
Hospital Putrajaya,"nmpk tmpt vaccine blah right, crk public parking",Hospital,-0.1027,Neutral
Hospital Putrajaya,kna byr,Hospital,0.0,Neutral
Hospital Putrajaya,parking lot go bwh,Hospital,0.0,Neutral
Hospital Putrajaya,tk yah double park sbb ml menapak,Hospital,0.0,Neutral
Hospital Putrajaya,tmpt tgu tuk amik cold vaccine,Hospital,0.0,Neutral
Hospital Putrajaya,"fill brg, amik vaccine, tgu 15 min lp tu blk",Hospital,0.0,Neutral
Hospital Putrajaya,everything ok vaccine awl2 msk syringe,Hospital,0.296,Neutral
Hospital Putrajaya,cost benefit (locals) 8/10: virtually free local outpatient treatment heavily subsidised inpatient treatment,Hospital,0.743,Positive
Hospital Putrajaya,cost benefit (fpp foreigners) 4/10: operate exactly like free hospital even fully paying patient,Hospital,0.8316,Positive
Hospital Putrajaya,"despite thru advertising, really get better service",Hospital,0.4902,Positive
Hospital Putrajaya,medical benchmark 7/10:,Hospital,0.0,Neutral
Hospital Putrajaya,waiting area 5/10: seems hospital wa designed cater third number patient doe care,Hospital,0.5423,Positive
Hospital Putrajaya,parking 3/10: inadequate badly planned,Hospital,-0.7003,Negative
Hospital Putrajaya,"nurses 8/10: considering undermanned, adequate job",Hospital,0.2263,Neutral
Hospital Putrajaya,doctors 7/10: could better prepared,Doctor,0.5859,Positive
Hospital Putrajaya,toilet 1/10: self respecting human enter,Hospital,0.4939,Positive
Hospital Putrajaya,"simplify affair others, god simplifies affair (maternity ward 2a) clean heart abuse people waiting worldly power",Hospital,-0.1027,Neutral
Hospital Putrajaya,service good,Hospital,0.4404,Positive
Hospital Putrajaya,unprofessional,Hospital,-0.5106,Negative
Hospital Putrajaya,woman want give birth treated like garbage,Hospital,0.4215,Positive
Hospital Putrajaya,appointment (ortho clink room 35- young female doctor),Doctor,0.0,Neutral
Hospital Putrajaya,doctor answered phone many time room,Doctor,0.0,Neutral
Hospital Putrajaya,conversation seemed like laughing friend,Hospital,0.836,Positive
Hospital Putrajaya,doctor walked office without telling u wa going,Doctor,0.0,Neutral
Hospital Putrajaya,"15 minute listening speak phone talking colleges, finally spoke u asked u x-ray",Hospital,0.0,Neutral
Hospital Putrajaya,explanation wa given,Hospital,0.0,Neutral
Hospital Putrajaya,"asking explanation, doctor wa happy: walked office called someone else explain u",Doctor,0.5719,Positive
Hospital Putrajaya,time,Hospital,0.0,Neutral
Hospital Putrajaya,"doctor never asked wa feeling, feel pain",Doctor,-0.5676,Negative
Hospital Putrajaya,asked question,Hospital,0.0,Neutral
Hospital Putrajaya,"felt wa treated clerk grocery store, doctor hospital",Doctor,0.0,Neutral
Hospital Putrajaya,"parking 1 hour , really frustrating",Hospital,-0.4927,Negative
Hospital Putrajaya,"dont understand system work here, gave 1 star base experience",Hospital,0.0,Neutral
Hospital Putrajaya,"came head trauma, think trauma blood ha dried enough name called",Doctor,-0.4939,Negative
Hospital Putrajaya,"makes wonder worse trauma, survive left dead",Hospital,-0.8807,Negative
Hospital Putrajaya,super slow,Hospital,0.5994,Positive
Hospital Putrajaya,"baby's temperature 38 ° c, er told go back monitor breathing indented near chest",Hospital,0.0,Neutral
Hospital Putrajaya,ckp hosp shah alam said 37,Hospital,0.0,Neutral
Hospital Putrajaya,"8, go new hosp check",Hospital,0.0,Neutral
Hospital Putrajaya,"doctors need '1st child, wonder know take care'",Doctor,0.4939,Positive
Hospital Putrajaya,hospital mule,Hospital,0.0,Neutral
Hospital Putrajaya,"coughed cold, go get treatment",Hospital,0.0,Neutral
Hospital Putrajaya,"dy ckp ""saturday sunday kite accept emergency case only"" father dy x de otak",Hospital,0.0,Neutral
Hospital Putrajaya,correct mcm treatment,Hospital,0.0,Neutral
Hospital Putrajaya,"young nurse make patient experimental material test ""reliability"" finding vein draw blood",Doctor,0.0,Neutral
Hospital Putrajaya,last2 failed well,Hospital,-0.296,Neutral
Hospital Putrajaya,patients inappropriate bruise,Hospital,0.0,Neutral
Hospital Putrajaya,ha nothing purpose coming,Hospital,0.34,Positive
Hospital Putrajaya,another patient's watch wa lost due irresponsible nurse wanted take blood,Hospital,-0.6369,Negative
Hospital Putrajaya,doctor said wa necessary,Doctor,0.0,Neutral
Hospital Putrajaya,come back claim lost watch,Hospital,-0.3182,Negative
Hospital Putrajaya,cost treatment high work non -government,Hospital,0.0,Neutral
Hospital Putrajaya,deposit paid full,Hospital,0.0,Neutral
Hospital Putrajaya,police action taken immediately element theft,Hospital,0.0,Neutral
Hospital Putrajaya,matter serious compromise,Hospital,-0.0516,Neutral
Hospital Putrajaya,management please note,Hospital,0.3182,Positive
Hospital Putrajaya,1,Hospital,0.0,Neutral
Hospital Putrajaya,bad operator x picked phone call 11,Hospital,-0.5423,Negative
Hospital Putrajaya,30am,Hospital,0.0,Neutral
Hospital Putrajaya,even though break time long,Hospital,0.0,Neutral
Hospital Putrajaya,grrr,Hospital,-0.1027,Neutral
Hospital Putrajaya,one worst hospital world incompetent pengarah specialist,Hospital,-0.802,Negative
Hospital Putrajaya,"medical officer planning work her, avoid cost",Hospital,-0.296,Neutral
Hospital Putrajaya,nora'i binti mohd said really incompetent doctor,Doctor,-0.5256,Negative
Hospital Putrajaya,specialist hospital care patient,Hospital,0.4939,Positive
Hospital Putrajaya,care blame something go wrong,Hospital,-0.3182,Negative
Hospital Putrajaya,especially o&g department,Hospital,0.0,Neutral
Hospital Putrajaya,"coming government hospital, must remembered member 6 7",Hospital,0.0,Neutral
Hospital Putrajaya,wa sick,Hospital,-0.5106,Negative
Hospital Putrajaya,checked hospital found tumor,Hospital,-0.3818,Negative
Hospital Putrajaya,stage 4 found,Hospital,0.0,Neutral
Hospital Putrajaya,perlis serdang,Hospital,0.0,Neutral
Hospital Putrajaya,al fatihah,Hospital,0.0,Neutral
Hospital Putrajaya,"sy fell motorcycle 1 week, endured chest pain",Hospital,-0.5106,Negative
Hospital Putrajaya,went hp buwt xray,Hospital,0.0,Neutral
Hospital Putrajaya,time doctor anney checkup white tent,Doctor,0.0,Neutral
Hospital Putrajaya,lp xray saw doctor anney outside hospital,Doctor,0.0,Neutral
Hospital Putrajaya,said xda apa2 tell go back rest,Hospital,0.0,Neutral
Hospital Putrajaya,sy went straight columbia hospital check wa crack 4 rib,Hospital,0.2263,Neutral
Hospital Putrajaya,call land line department answer phone call,Hospital,0.0,Neutral
Hospital Putrajaya,please improve customer service thanks,Hospital,0.7964,Positive
Hospital Putrajaya,relax bos,Hospital,0.4404,Positive
Hospital Putrajaya,time waiting number like goverment hospital,Hospital,0.4215,Positive
Hospital Putrajaya,pay like private hospital,Hospital,0.2732,Neutral
Hospital Putrajaya,totally unacceptable,Hospital,-0.5095,Negative
Hospital Putrajaya,"today came hospital putrajaya waited 4 hour counter7 hospital give appointment ten day later long time long , people die waiting",Hospital,-0.5994,Negative
Hospital Putrajaya,came covid test o&g 7am,Hospital,0.0,Neutral
Hospital Putrajaya,"called confirm, nurse said start 8am",Hospital,0.0,Neutral
Hospital Putrajaya,"ok, never mind, it’s bad calling earlier check",Hospital,0.6187,Positive
Hospital Putrajaya,"now, time show 9",Hospital,0.0,Neutral
Hospital Putrajaya,00am pic still haven’t start anything yet,Hospital,0.0,Neutral
Hospital Putrajaya,"reason being, there’s miss communication doctor charge",Doctor,-0.1531,Neutral
Hospital Putrajaya,disappointed,Hospital,-0.4767,Negative
Hospital Putrajaya,"""this hospital quite expensive, go hospital shah alam cheap",Hospital,0.0,Neutral
Hospital Putrajaya,"anyway, ward full transfer hospital",Hospital,0.0,Neutral
Hospital Putrajaya,"kajang serdang"" dr dalila sa'diah abd razak putra jaya hospital said pregnant wife send hospital wa bleeding",Doctor,0.0,Neutral
Hospital Putrajaya,rude harebrained behavior person supposed educated doctor,Doctor,-0.4588,Negative
Hospital Putrajaya,begging money pay bill,Hospital,-0.1027,Neutral
Hospital Putrajaya,hopefully hospital management would give course dr behave like one,Doctor,0.6369,Positive
Hospital Putrajaya,biggest regret life sending son hospital putrajaya,Hospital,-0.4215,Negative
Hospital Putrajaya,lost son due medical negligence hospital,Hospital,-0.3182,Negative
Hospital Putrajaya,"irresponsible nurse doctor take care him, fact, always ignored request even time chitchatting",Doctor,-0.25,Neutral
Hospital Putrajaya,medical negligence caused wound infection became festered,Hospital,0.0,Neutral
Hospital Putrajaya,big wound tortured every second heart stop beating,Hospital,-0.8316,Negative
Hospital Putrajaya,unforgivable pain lost family,Hospital,-0.6808,Negative
Kuala Lumpur General Hospital,mrt station,Hospital,0.0,Neutral
Kuala Lumpur General Hospital,good convenient,Hospital,0.4404,Positive
Kuala Lumpur General Hospital,next station titiwangsa,Hospital,0.0,Neutral
Kuala Lumpur General Hospital,side next station raja uda,Hospital,0.0,Neutral
Kuala Lumpur General Hospital,government hosp,Hospital,0.0,Neutral
Kuala Lumpur General Hospital,u expect,Hospital,0.0,Neutral
Kuala Lumpur General Hospital,service excellent,Hospital,0.5719,Positive
Kuala Lumpur General Hospital,thank u much frontliner,Hospital,0.3612,Positive
Kuala Lumpur General Hospital,parking u parking building bangunan bertingkat hosp tunku azizah,Hospital,0.0,Neutral
Kuala Lumpur General Hospital,u choose,Hospital,0.0,Neutral
Kuala Lumpur General Hospital,u banyak songeh g swasta jela,Hospital,0.0,Neutral
Kuala Lumpur General Hospital,thank,Hospital,0.3612,Positive
Kuala Lumpur General Hospital,doctor staff hkl,Doctor,0.0,Neutral
Kuala Lumpur General Hospital,good hospital 5 star rangking specialist doctor,Doctor,0.4404,Positive
Kuala Lumpur General Hospital,feeling like way turning hulk,Hospital,0.4588,Positive
Kuala Lumpur General Hospital,9,Hospital,0.0,Neutral
Kuala Lumpur General Hospital,30am til 12,Hospital,0.0,Neutral
Kuala Lumpur General Hospital,30pm waiting doctor,Doctor,0.0,Neutral
Kuala Lumpur General Hospital,tell,Hospital,0.0,Neutral
Kuala Lumpur General Hospital,-klinik neurology-,Hospital,0.0,Neutral
Kuala Lumpur General Hospital,"rude receptionist red zone emergency, poor listening skill said like people near die",Hospital,-0.8779,Negative
Kuala Lumpur General Hospital,i’m asking help medicine finish today need help yet said kind sentence,Hospital,0.8442,Positive
Kuala Lumpur General Hospital,"providing solution want show bad manner, bad ever receptionist met",Hospital,-0.6597,Negative
Kuala Lumpur General Hospital,good bless,Hospital,0.6908,Positive
Kuala Lumpur General Hospital,sleping wait dokter,Hospital,0.0,Neutral
Kuala Lumpur General Hospital,7,Hospital,0.0,Neutral
Kuala Lumpur General Hospital,25pm 11,Hospital,0.0,Neutral
Kuala Lumpur General Hospital,35 dokter cek,Hospital,0.0,Neutral
Kuala Lumpur General Hospital,3rd class customer service,Hospital,0.0,Neutral
Kuala Lumpur General Hospital,called hospital's number,Hospital,0.0772,Neutral
Kuala Lumpur General Hospital,told hospital local,Hospital,0.0,Neutral
Kuala Lumpur General Hospital,come hospital serve local,Hospital,0.0,Neutral
Kuala Lumpur General Hospital,may charge extra money,Hospital,0.0,Neutral
Kuala Lumpur General Hospital,that's fine,Hospital,0.2023,Neutral
Kuala Lumpur General Hospital,say hospital local,Hospital,0.0,Neutral
Kuala Lumpur General Hospital,really hospital local shame guy,Hospital,-0.5209,Negative
Kuala Lumpur General Hospital,want explanation customer seevice girl told hospital local,Hospital,0.0772,Neutral
Columbia Asia Hospital - Petaling Jaya,far good,Hospital,0.4404,Positive
Columbia Asia Hospital - Petaling Jaya,front office staff helpful friendly,Hospital,0.7184,Positive
Columbia Asia Hospital - Petaling Jaya,medical staff doctor patient answering question explaining procedure,Doctor,0.0,Neutral
Columbia Asia Hospital - Petaling Jaya,generally hospital environment comfortable hygienic,Hospital,0.5106,Positive
Columbia Asia Hospital - Petaling Jaya,though crowded visited saturday proper sops place,Hospital,0.0,Neutral
Columbia Asia Hospital - Petaling Jaya,coming hospital last 5 year,Hospital,0.0,Neutral
Columbia Asia Hospital - Petaling Jaya,prenatal care birth 3rd child surgery arm dislocation,Hospital,0.4939,Positive
Columbia Asia Hospital - Petaling Jaya,"staffs, nurse doctor really caring professional",Doctor,0.5413,Positive
Columbia Asia Hospital - Petaling Jaya,consistent calmness hospital patient care priority fully seen felt,Hospital,0.7096,Positive
Columbia Asia Hospital - Petaling Jaya,procedures fully explained well risk involved recovery plan wa also given knew wa getting manage expectation,Hospital,0.0038,Neutral
Columbia Asia Hospital - Petaling Jaya,"complaints, would columbia asia hospital app centralised",Hospital,-0.4019,Negative
Columbia Asia Hospital - Petaling Jaya,record scan done wa hospitalized,Hospital,0.0,Neutral
Columbia Asia Hospital - Petaling Jaya,columbia asia hospital klang can't downloaded even current orthopaedic cah pj ha access well,Hospital,0.5423,Positive
Columbia Asia Hospital - Petaling Jaya,"meant lug big envelope containint report, xrays scan went consult dr pj",Doctor,0.0,Neutral
Columbia Asia Hospital - Petaling Jaya,nice people,Hospital,0.4215,Positive
Columbia Asia Hospital - Petaling Jaya,treatment well explained experienced doctor & nurse dedicated friendly,Doctor,0.8074,Positive
Columbia Asia Hospital - Petaling Jaya,"all, service & patient’s welfare wa wonderful",Hospital,0.5719,Positive
Columbia Asia Hospital - Petaling Jaya,first time wa satisfied service cleanliness outpatient area,Hospital,0.4215,Positive
Columbia Asia Hospital - Petaling Jaya,easy get parking,Hospital,0.4404,Positive
Columbia Asia Hospital - Petaling Jaya,social distancing sticker sign put easy spot,Hospital,0.4404,Positive
Columbia Asia Hospital - Petaling Jaya,attend one free online seminar feeding solid baby well birth,Hospital,0.7184,Positive
Columbia Asia Hospital - Petaling Jaya,informative session speaker,Hospital,0.0,Neutral
Columbia Asia Hospital - Petaling Jaya,hope session future useful especially 1st time parent,Hospital,0.7003,Positive
Columbia Asia Hospital - Petaling Jaya,keep,Hospital,0.0,Neutral
Columbia Asia Hospital - Petaling Jaya,nice seminar information gaven,Hospital,0.4215,Positive
Columbia Asia Hospital - Petaling Jaya,good sharing session,Hospital,0.6908,Positive
Columbia Asia Hospital - Petaling Jaya,clean comfortable hospital,Hospital,0.7184,Positive
Columbia Asia Hospital - Petaling Jaya,"nice, clean, efficient operating hospital full facility",Hospital,0.8074,Positive
Columbia Asia Hospital - Petaling Jaya,pleasant nice experience,Hospital,0.7269,Positive
Columbia Asia Hospital - Petaling Jaya,hospital look comfortable clean,Hospital,0.7184,Positive
Columbia Asia Hospital - Petaling Jaya,nurse accomodating,Hospital,0.0,Neutral
Columbia Asia Hospital - Petaling Jaya,pyisio team best team,Hospital,0.6369,Positive
Columbia Asia Hospital - Petaling Jaya,excellent,Hospital,0.5719,Positive
Columbia Asia Hospital - Petaling Jaya,fasiliti clean,Hospital,0.4019,Positive
Columbia Asia Hospital - Petaling Jaya,fast check,Hospital,0.0,Neutral
Columbia Asia Hospital - Petaling Jaya,good customer service,Hospital,0.4404,Positive
Columbia Asia Hospital - Petaling Jaya,like facility,Hospital,0.3612,Positive
Columbia Asia Hospital - Petaling Jaya,great service,Hospital,0.6249,Positive
Columbia Asia Hospital - Petaling Jaya,good service laboratory department great consultation,Hospital,0.7906,Positive
Columbia Asia Hospital - Petaling Jaya,went see dr andy (gastroenterologist) dr beena (gynaecology),Doctor,0.0,Neutral
Columbia Asia Hospital - Petaling Jaya,doctor knowledgeable helpful,Doctor,0.4215,Positive
Columbia Asia Hospital - Petaling Jaya,beyond expectation,Hospital,0.0,Neutral
Columbia Asia Hospital - Petaling Jaya,fully recommend anyone go hospital,Hospital,0.4201,Positive
Columbia Asia Hospital - Petaling Jaya,good experience appointment hospital short waiting time good sop drs & nurse attentive,Doctor,0.7003,Positive
Columbia Asia Hospital - Petaling Jaya,appreciate hospital breastfeeding friendly nursing room facility,Hospital,0.7096,Positive
Columbia Asia Hospital - Petaling Jaya,suggest provide facility cater increased number mother & baby,Hospital,0.34,Positive
Columbia Asia Hospital - Petaling Jaya,great service,Hospital,0.6249,Positive
Columbia Asia Hospital - Petaling Jaya,quick flow,Hospital,0.0,Neutral
Columbia Asia Hospital - Petaling Jaya,"medical check, got 745am l",Hospital,0.0,Neutral
Columbia Asia Hospital - Petaling Jaya,covid test necessary test (include stress test) 1045am i’m done,Hospital,-0.4215,Negative
Columbia Asia Hospital - Petaling Jaya,great doc n nurse,Hospital,0.6249,Positive
Columbia Asia Hospital - Petaling Jaya,thanks,Hospital,0.4404,Positive
Columbia Asia Hospital - Petaling Jaya,first time,Hospital,0.0,Neutral
Columbia Asia Hospital - Petaling Jaya,came basic health screening package,Hospital,0.0,Neutral
Columbia Asia Hospital - Petaling Jaya,think package price wa reasonable v private hospital,Hospital,0.0,Neutral
Columbia Asia Hospital - Petaling Jaya,"also efficient fast tests, staff nice polite",Hospital,0.6808,Positive
Columbia Asia Hospital - Petaling Jaya,food cafe reasonably priced,Hospital,0.0,Neutral
Columbia Asia Hospital - Petaling Jaya,overall good experience,Hospital,0.4404,Positive
Columbia Asia Hospital - Petaling Jaya,pediatrician - dr bheena,Doctor,0.0,Neutral
Columbia Asia Hospital - Petaling Jaya,- describe,Hospital,0.0,Neutral
Columbia Asia Hospital - Petaling Jaya,met year 2017 conceived 1st boy,Hospital,0.0,Neutral
Columbia Asia Hospital - Petaling Jaya,full patient first spotting pregnancy 2 month,Hospital,0.0,Neutral
Columbia Asia Hospital - Petaling Jaya,willingly share personally number without asking,Hospital,0.3612,Positive
Columbia Asia Hospital - Petaling Jaya,10 month pregnancy inquiry texted respond fast,Hospital,0.0,Neutral
Columbia Asia Hospital - Petaling Jaya,good dr,Doctor,0.4404,Positive
Columbia Asia Hospital - Petaling Jaya,exceptional service,Hospital,0.0,Neutral
Columbia Asia Hospital - Petaling Jaya,whole family service nearest hospital near house,Hospital,0.0,Neutral
Columbia Asia Hospital - Petaling Jaya,"convenient, safe, clean, respectful staff reputable doctor",Doctor,0.8225,Positive
Columbia Asia Hospital - Petaling Jaya,expecting 2nd baby soon ob pedia consultant first born child,Hospital,0.0,Neutral
Columbia Asia Hospital - Petaling Jaya,love,Hospital,0.6369,Positive
Columbia Asia Hospital - Petaling Jaya,would like give 10 star hospital,Hospital,0.3612,Positive
Columbia Asia Hospital - Petaling Jaya,"people met (start guard, canteen, admission counter) polite, warm helpful",Hospital,0.5719,Positive
Columbia Asia Hospital - Petaling Jaya,good hospital recommend pj folk,Hospital,0.6597,Positive
Columbia Asia Hospital - Petaling Jaya,attended dr bheena nurse respectful explain detail,Doctor,0.4588,Positive
Columbia Asia Hospital - Petaling Jaya,nurse also seem calm experience,Hospital,0.3182,Positive
Columbia Asia Hospital - Petaling Jaya,thank,Hospital,0.3612,Positive
Columbia Asia Hospital - Petaling Jaya,comfy cozy environment,Hospital,0.0,Neutral
Columbia Asia Hospital - Petaling Jaya,helpful front desk courteous staff follow sop enter pandemic,Hospital,0.7269,Positive
Columbia Asia Hospital - Petaling Jaya,convenient neighbourhood hospital pj,Hospital,0.0,Neutral
Columbia Asia Hospital - Petaling Jaya,plenty carpark easy access,Hospital,0.4404,Positive
Columbia Asia Hospital - Petaling Jaya,surprisingly good hospital,Hospital,0.6249,Positive
Columbia Asia Hospital - Petaling Jaya,"location near house, price reasonably cheaper compared private hospital",Hospital,0.0,Neutral
Columbia Asia Hospital - Petaling Jaya,doctors personally think really good,Doctor,0.4927,Positive
Columbia Asia Hospital - Petaling Jaya,used go another hospital around damansara area experienced bad service doctors,Doctor,-0.5423,Negative
Columbia Asia Hospital - Petaling Jaya,yeah one doctor,Doctor,0.296,Neutral
Columbia Asia Hospital - Petaling Jaya,"overall, whole family regular hospital",Hospital,0.0,Neutral
Columbia Asia Hospital - Petaling Jaya,"overall experience ha great, safe genuine concern u every process undertaken, medical test financial matter",Hospital,0.8591,Positive
Columbia Asia Hospital - Petaling Jaya,swift follow ups nurse comforting care doctor alike,Doctor,0.7717,Positive
Columbia Asia Hospital - Petaling Jaya,front office security always ha great warmth attentiveness,Hospital,0.8979,Positive
Columbia Asia Hospital - Petaling Jaya,well done,Hospital,0.2732,Neutral
Columbia Asia Hospital - Petaling Jaya,parking improved,Hospital,0.4767,Positive
Columbia Asia Hospital - Petaling Jaya,"wonderful service, friendly nurses, doctor great (have seen 3 doctor far)",Doctor,0.9001,Positive
Columbia Asia Hospital - Petaling Jaya,almost always smooth process u registration end,Hospital,0.0,Neutral
